Codigo_Barrera,Descripcion,Subcategoria,Grupo,Codigo_Grupo
GB0101b,"Coordination between departments and administrations can be complex, and the associated processes often require significant time",Disconnect between short-term actions and long-term objectives,Political barriers,GB01
GB0101c,"We are in an electoral campaign period, which could affect the implementation process of NbS",Disconnect between short-term actions and long-term objectives,Political barriers,GB01
GB0101d,Achieving visible results in the short term is a priority,Disconnect between short-term actions and long-term objectives,Political barriers,GB01
GB0101e,"Bidding processes are often complex, and there are no dedicated resources available for managing tenders focused on innovative actions",Disconnect between short-term actions and long-term objectives,Political barriers,GB01
GB0102a,"There is tension between the agendas of central and local governments, and/or they are from different parties",Discontinuity between short-term actions and long-term plans,Political barriers,GB01
GB0102b,There are frequent changes in local authorities or other governing administrations,Discontinuity between short-term actions and long-term plans,Political barriers,GB01
GB0102c,"There are no common interests between metropolitan municipalities and district municipalities, which may affect the implementation of NbS",Discontinuity between short-term actions and long-term plans,Political barriers,GB01
GB0102d,Austerity policies may affect the implementation of NbS,Discontinuity between short-term actions and long-term plans,Political barriers,GB01
GB0103a,There is a physical plan that may affect the development of NbS,Revisions to strategic plans affecting the project area,Political barriers,GB01
GB0103b,There is a thematic strategic plan that may affect the development of NbS,Revisions to strategic plans affecting the project area,Political barriers,GB01
GB0104a,There is a physical plan that may affect the development of NbS,Long-term revisions to strategic plans affecting the project area,Political barriers,GB01
GB0104b,There is a thematic strategic plan that may affect the development of NbS,Long-term revisions to strategic plans affecting the project area,Political barriers,GB01
GB0201a,Authorities tend to prioritize approaches based on gray infrastructure projects,Infrastructural barriers,Technical barriers,GB02
GB0201b,Limited structural capacity of affected buildings to support the weight of green infrastructure,Infrastructural barriers,Technical barriers,GB02
GB0201c,Lack of construction companies with proven experience in building NbS in the local environment,Infrastructural barriers,Technical barriers,GB02
GB0201d,Technical barriers to plant and tree selection,Infrastructural barriers,Technical barriers,GB02
GB0202a,Authorities tend to prioritize approaches based on gray infrastructure projects,Location of interventions in urban space,Technical barriers,GB02
GB0301a,Basic local legislation is not complied with,,Legal barriers,GB03
GB0301b,The landowners may not be interested in NbS,,Legal barriers,GB03
GB0301c,Land use is restricted due to legal conditions,,Legal barriers,GB03
GB0301d,Local permits for construction work can cause delays,,Legal barriers,GB03
GB0301e,Lack of local ordinances and regulations,,Legal barriers,GB03
GB0301f,Lack of coordination for public-private collaboration,,Legal barriers,GB03
GB0302a,Conflicts between departments and/or lack of collaboration,Organizational barriers.,Legal barriers,GB03
GB0302b,Vertical/horizontal hierarchical work culture,Organizational barriers.,Legal barriers,GB03
GB0302c,Lack or absence of organizational learning capacity,Organizational barriers.,Legal barriers,GB03
GB0302d,Lack of commitment to programs,Organizational barriers.,Legal barriers,GB03
GB0401a,Lack of information on NbS projects,Knowledge gaps - Fear of the unknown,Socio-cultural barriers,GB04
GB0401b,Concerns about skater participation and the impact of human-nature interactions,Knowledge gaps - Fear of the unknown,Socio-cultural barriers,GB04
GB0401c,Uncertainties about NbS implementation and maintenance,Knowledge gaps - Fear of the unknown,Socio-cultural barriers,GB04
GB0402a,Lack of awareness about climate change and the benefits that NbS bring to city residents,Lack of awareness,Socio-cultural barriers,GB04
GB0403a,NbS can increase the real estate value of land,Ecological gentrification and social inclusion,Socio-cultural barriers,GB04
GB0404a,The city has slowed its growth: investment efforts are mainly devoted to economic ends,Growth paradigm,Socio-cultural barriers,GB04
GB0501a,The city cannot support the monitoring and evaluation of NbS,Perception of the valuation of ecosystem services,Financial barriers,GB05
GB0502a,There are no opportunities for public-private partnership agreements,Public-private partnerships,Financial barriers,GB05
